,FEDFUNDS,YEAR,MONTH
0,0.8,1954,07
1,1.22,1954,08
2,1.07,1954,09
3,0.85,1954,10
4,0.83,1954,11
5,1.28,1954,12
6,1.39,1955,01
7,1.29,1955,02
8,1.35,1955,03
9,1.43,1955,04
10,1.43,1955,05
11,1.64,1955,06
12,1.68,1955,07
13,1.96,1955,08
14,2.18,1955,09
15,2.24,1955,10
16,2.35,1955,11
17,2.48,1955,12
18,2.45,1956,01
19,2.5,1956,02
20,2.5,1956,03
21,2.62,1956,04
22,2.75,1956,05
23,2.71,1956,06
24,2.75,1956,07
25,2.73,1956,08
26,2.95,1956,09
27,2.96,1956,10
28,2.88,1956,11
29,2.94,1956,12
30,2.84,1957,01
31,3.0,1957,02
32,2.96,1957,03
33,3.0,1957,04
34,3.0,1957,05
35,3.0,1957,06
36,2.99,1957,07
37,3.24,1957,08
38,3.47,1957,09
39,3.5,1957,10
40,3.28,1957,11
41,2.98,1957,12
42,2.72,1958,01
43,1.67,1958,02
44,1.2,1958,03
45,1.26,1958,04
46,0.63,1958,05
47,0.93,1958,06
48,0.68,1958,07
49,1.53,1958,08
50,1.76,1958,09
51,1.8,1958,10
52,2.27,1958,11
53,2.42,1958,12
54,2.48,1959,01
55,2.43,1959,02
56,2.8,1959,03
57,2.96,1959,04
58,2.9,1959,05
59,3.39,1959,06
60,3.47,1959,07
61,3.5,1959,08
62,3.76,1959,09
63,3.98,1959,10
64,4.0,1959,11
65,3.99,1959,12
66,3.99,1960,01
67,3.97,1960,02
68,3.84,1960,03
69,3.92,1960,04
70,3.85,1960,05
71,3.32,1960,06
72,3.23,1960,07
73,2.98,1960,08
74,2.6,1960,09
75,2.47,1960,10
76,2.44,1960,11
77,1.98,1960,12
78,1.45,1961,01
79,2.54,1961,02
80,2.02,1961,03
81,1.49,1961,04
82,1.98,1961,05
83,1.73,1961,06
84,1.17,1961,07
85,2.0,1961,08
86,1.88,1961,09
87,2.26,1961,10
88,2.61,1961,11
89,2.33,1961,12
90,2.15,1962,01
91,2.37,1962,02
92,2.85,1962,03
93,2.78,1962,04
94,2.36,1962,05
95,2.68,1962,06
96,2.71,1962,07
97,2.93,1962,08
98,2.9,1962,09
99,2.9,1962,10
100,2.94,1962,11
101,2.93,1962,12
102,2.92,1963,01
103,3.0,1963,02
104,2.98,1963,03
105,2.9,1963,04
106,3.0,1963,05
107,2.99,1963,06
108,3.02,1963,07
109,3.49,1963,08
110,3.48,1963,09
111,3.5,1963,10
112,3.48,1963,11
113,3.38,1963,12
114,3.48,1964,01
115,3.48,1964,02
116,3.43,1964,03
117,3.47,1964,04
118,3.5,1964,05
119,3.5,1964,06
120,3.42,1964,07
121,3.5,1964,08
122,3.45,1964,09
123,3.36,1964,10
124,3.52,1964,11
125,3.85,1964,12
126,3.9,1965,01
127,3.98,1965,02
128,4.05,1965,03
129,4.09,1965,04
130,4.1,1965,05
131,4.05,1965,06
132,4.09,1965,07
133,4.12,1965,08
134,4.02,1965,09
135,4.08,1965,10
136,4.1,1965,11
137,4.32,1965,12
138,4.42,1966,01
139,4.6,1966,02
140,4.66,1966,03
141,4.67,1966,04
142,4.9,1966,05
